,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Hithadhoo,92,MV,1543518264,100,-0.6,73.08,82.61,4.83
1,El Alto,75,BO,1543514400,41,-16.5,-68.19,62.6,8.05
2,Qaanaaq,0,GL,1543518264,91,77.48,-69.36,-4.52,9.08
3,Hilo,20,US,1543513980,78,19.71,-155.08,71.06,3.36
4,Georgetown,40,GY,1543514400,70,6.8,-58.16,87.8,13.87
5,Huaicheng,0,CN,1543518265,87,23.91,112.19,46.61,2.48
6,Barrow,0,AR,1543518104,59,-38.31,-60.23,76.53,6.85
7,Vung Tau,0,VN,1543518265,93,10.35,107.08,81.89,19.71
8,Rikitea,32,PF,1543518266,97,-23.12,-134.97,77.84,12.44
9,Tambacounda,0,SN,1543514400,19,13.77,-13.67,96.8,6.93
10,Hobart,75,AU,1543516200,82,-42.88,147.33,57.2,4.7
11,Maldonado,75,UY,1543514400,68,-34.91,-54.96,71.6,17.22
12,Namatanai,92,PG,1543518266,100,-3.66,152.44,82.61,12.44
13,Imbituba,75,BR,1543514400,78,-28.24,-48.67,77.0,13.87
14,Bagdarin,0,RU,1543518267,61,54.44,113.59,-10.37,7.18
15,Vaini,20,IN,1543518267,56,15.34,74.49,70.59,5.61
16,Ponta do Sol,0,BR,1543518267,52,-20.63,-46.0,84.23,4.5
17,Kodiak,75,US,1543515300,69,39.95,-94.76,35.06,6.93
18,Kavaratti,36,IN,1543518268,100,10.57,72.64,83.96,6.51
19,Labuhan,20,ID,1543518268,98,-2.54,115.51,73.38,0.92
20,Najran,0,SA,1543514400,52,17.54,44.22,68.0,4.7
21,Jamestown,0,AU,1543518268,80,-33.21,138.6,40.94,2.59
22,Sitka,0,US,1543518269,46,37.17,-99.65,53.67,4.72
23,Ostrovnoy,76,RU,1543518269,91,68.05,39.51,24.74,19.04
24,Atuona,44,PF,1543518269,100,-9.8,-139.03,80.4,18.03
25,Saskylakh,48,RU,1543518269,37,71.97,114.09,-24.54,2.93
26,Kahului,1,US,1543514160,78,20.89,-156.47,71.6,4.7
27,Mount Isa,0,AU,1543516200,23,-20.73,139.49,73.4,5.82
28,Clyde River,75,CA,1543514400,91,70.47,-68.59,-4.01,2.93
29,San Luis,0,AR,1543518270,49,-33.3,-66.34,83.78,7.74
30,Pauini,32,BR,1543518271,72,-7.71,-67.0,86.97,3.94
31,Arlit,8,NE,1543518271,25,18.74,7.39,71.76,6.17
32,Touros,40,BR,1543514400,62,-5.2,-35.46,86.0,18.34
33,Mayor Pablo Lagerenza,56,PY,1543518271,92,-19.93,-60.77,83.37,2.37
34,Sao Gabriel da Cachoeira,20,BR,1543514400,66,-0.13,-67.09,89.6,5.82
35,Naze,20,NG,1543514400,83,5.43,7.07,82.4,7.74
36,Hamilton,75,BM,1543514100,55,32.3,-64.78,66.2,29.97
37,Avarua,40,CK,1543514400,74,-21.21,-159.78,84.2,8.05
38,Ushuaia,75,AR,1543514400,87,-54.81,-68.31,55.4,25.28
39,Dawson Creek,90,CA,1543517040,98,55.76,-120.23,32.0,2.24
40,Punta Arenas,75,CL,1543514400,47,-53.16,-70.91,57.2,23.04
41,Freeport,75,BS,1543514400,53,26.54,-78.7,71.6,9.17
42,Kovdor,92,RU,1543518273,77,67.56,30.47,30.36,8.63
43,Avera,1,US,1543517700,37,33.19,-82.53,60.8,5.82
44,Belmonte,92,PT,1543518273,98,40.36,-7.35,45.12,1.14
45,Shelburne,90,CA,1543514400,86,44.08,-80.2,35.6,8.05
46,Chiusi,0,IT,1543514100,70,43.02,11.95,44.6,10.29
47,Busselton,0,AU,1543518274,100,-33.64,115.35,54.93,15.57
48,Caico,0,PE,1543518274,23,-17.24,-70.29,63.89,3.15
49,Faanui,76,PF,1543518274,99,-16.48,-151.75,83.19,12.77
50,Rome,0,IT,1543517400,81,41.89,12.48,51.8,5.82
51,Tuensang,32,IN,1543518275,99,26.24,94.81,55.83,1.92
52,Codrington,0,AU,1543514400,93,-28.95,153.24,59.0,9.17
53,Haines Junction,44,CA,1543518275,99,60.75,-137.51,6.24,1.14
54,Bambous Virieux,40,MU,1543514400,83,-20.34,57.76,77.0,6.93
55,Lorengau,92,PG,1543518275,99,-2.02,147.27,83.96,10.2
56,Tyler,90,US,1543517700,83,32.35,-95.3,73.4,9.17
57,Mataura,76,NZ,1543518276,91,-46.19,168.86,56.51,3.38
58,Port Alfred,44,ZA,1543518276,83,-33.59,26.89,67.31,19.48
59,Kainantu,68,PG,1543518276,98,-6.29,145.87,64.88,1.14
60,Kurilsk,76,RU,1543518276,100,45.23,147.88,35.04,20.71
61,Tiksi,64,RU,1543518277,67,71.64,128.87,-14.91,4.94
62,Norman Wells,90,CA,1543515120,83,65.28,-126.83,-4.01,3.49
63,Guerrero Negro,80,MX,1543518277,88,27.97,-114.04,63.98,6.62
64,Santa Vitoria do Palmar,20,BR,1543518184,98,-33.52,-53.37,72.48,14.0
65,Chuy,20,UY,1543518277,98,-33.69,-53.46,72.48,14.0
66,Wajir,5,KE,1543514400,51,1.75,40.07,84.2,3.36
67,Jacksonville,75,US,1543517580,39,30.33,-81.66,60.8,3.36
68,Nathdwara,8,IN,1543518278,83,24.93,73.82,51.69,3.94
69,Hermanus,64,ZA,1543518278,39,-34.42,19.24,72.12,9.42
70,Dvinskoy,76,RU,1543518278,81,62.16,45.12,19.43,7.18
71,Bridgend,88,GB,1543517400,81,51.51,-3.58,51.8,14.99
72,Tuktoyaktuk,90,CA,1543515180,92,69.44,-133.03,10.4,3.36
73,Iqaluit,90,CA,1543514400,92,63.75,-68.52,23.0,4.7
74,Mar del Plata,64,AR,1543518055,39,-46.43,-67.52,73.16,22.39
75,Parvatipuram,8,IN,1543518279,93,18.78,83.43,67.04,2.26
76,Luderitz,0,NA,1543518279,62,-26.65,15.16,61.5,3.83
77,Zhumadian,80,CN,1543518279,90,33.01,114.02,43.73,5.61
78,Kununurra,12,AU,1543516200,88,-15.77,128.74,78.8,5.95
79,Arraial do Cabo,20,BR,1543514400,66,-22.97,-42.02,86.0,12.75
80,Cape Town,0,ZA,1543514400,72,-33.93,18.42,66.2,13.87
81,Petropavlovsk-Kamchatskiy,75,RU,1543514400,92,53.05,158.65,8.6,10.87
82,Waldshut-Tiengen,68,DE,1543517400,100,47.62,8.22,39.2,2.24
83,Saint-Philippe,90,CA,1543516500,80,45.36,-73.48,37.4,10.29
84,Jadu,100,LY,1543518281,72,31.95,12.03,52.86,6.4
85,Dingli,20,MT,1543517100,76,35.86,14.38,53.6,4.7
86,Drayton Valley,80,CA,1543517997,75,53.22,-114.98,30.0,2.71
87,Hualmay,8,PE,1543518281,63,-11.1,-77.61,72.75,6.29
88,Denia,56,ES,1543518020,100,38.84,0.11,59.66,0.36
89,Gornopravdinsk,56,RU,1543518281,63,60.06,69.92,-8.12,8.19
90,Bethel,90,US,1543516680,91,60.79,-161.76,8.6,6.93
91,Soyo,36,AO,1543518282,96,-6.13,12.37,77.66,3.94
92,Xichang,0,CN,1543518282,84,27.88,102.25,32.79,1.7
93,Yellowknife,90,CA,1543514400,92,62.45,-114.38,12.2,8.05
94,Butaritari,24,KI,1543518283,100,3.07,172.79,84.41,4.05
95,Narsaq,0,GL,1543518283,52,60.91,-46.05,3.14,4.94
96,Te Anau,56,NZ,1543518283,95,-45.41,167.72,50.61,2.82
97,Upernavik,44,GL,1543518283,100,72.79,-56.15,11.24,8.19
98,Saint-Augustin,75,FR,1543516200,76,44.83,-0.61,55.4,3.36
99,Victoria,75,BN,1543516200,83,5.28,115.24,82.4,4.7
100,Kyzyl-Suu,0,KG,1543518283,100,42.34,78.0,28.34,3.94
101,Sao Filipe,8,CV,1543518284,87,14.9,-24.5,77.88,18.48
102,Ribeira Grande,40,PT,1543516200,72,38.52,-28.7,64.4,12.75
103,Castro,90,CL,1543514400,87,-42.48,-73.76,59.0,14.99
104,Kaitangata,20,NZ,1543518284,84,-46.28,169.85,52.41,10.87
105,Vila Franca do Campo,20,PT,1543516200,67,37.72,-25.43,62.6,10.29
106,Innisfail,20,CA,1543514400,67,52.02,-113.95,23.0,3.36
107,Airai,76,TL,1543518285,95,-8.93,125.41,70.77,0.81
108,Olot,0,UZ,1543516200,81,39.42,63.81,55.4,9.17
109,Miri,0,NG,1543518285,30,10.31,9.75,76.13,5.61
110,Biloela,0,AU,1543518286,69,-24.4,150.51,60.78,4.72
111,Albany,90,US,1543517820,86,42.65,-73.75,42.08,9.17
112,Port Elizabeth,1,US,1543517760,50,39.31,-74.98,46.04,14.99
113,Port Hardy,75,CA,1543514400,93,50.7,-127.42,41.0,5.82
114,Chitral,0,PK,1543518286,75,35.85,71.79,8.67,0.81
115,Dmitriyevka,100,GE,1543518287,100,43.08,41.0,45.44,2.59
116,Neiafu,40,TO,1543514400,100,-18.65,-173.98,77.0,10.65
117,Saint George,75,GR,1543513800,70,39.45,22.34,44.6,9.17
118,Raigarh,0,IN,1543518287,85,21.9,83.39,61.05,3.49
119,Camacha,75,PT,1543516200,88,33.08,-16.33,68.0,10.29
120,Brae,75,GB,1543517400,93,60.4,-1.35,51.8,28.86
121,Puerto Escondido,75,MX,1543517100,69,15.86,-97.07,82.4,9.17
122,Chokurdakh,64,RU,1543518288,70,70.62,147.9,-1.5,10.98
123,Alofi,92,NU,1543514400,88,-19.06,-169.92,80.6,1.12
124,Scottsbluff,75,US,1543514580,85,41.87,-103.67,44.96,3.36
125,East London,20,ZA,1543514400,68,-33.02,27.91,64.4,12.75
126,San Rafael,68,AR,1543518290,66,-34.61,-68.33,70.14,2.26
127,Souillac,92,FR,1543516200,76,45.6,-0.6,55.4,8.05
128,Sinnamary,88,GF,1543518290,93,5.38,-52.96,81.39,12.33
129,Santa Maria,20,BR,1543518292,91,-29.69,-53.81,78.96,4.16
130,Malaga,0,AU,1543516200,58,-31.86,115.89,59.0,13.87
131,Khatanga,0,RU,1543518292,0,71.98,102.47,-40.88,4.38
132,Khani,75,GE,1543516200,87,41.96,42.96,53.6,8.05
133,Bilma,0,NE,1543518292,24,18.69,12.92,68.16,9.19
134,Sale,40,GB,1543517400,70,53.42,-2.32,48.2,11.41
135,New Norfolk,75,AU,1543516200,82,-42.78,147.06,57.2,4.7
136,Kapaa,75,US,1543514160,78,22.08,-159.32,75.92,6.93
137,Bredasdorp,64,ZA,1543514400,63,-34.53,20.04,66.2,17.22
138,Sorland,40,NO,1543517400,81,67.67,12.69,46.4,17.22
139,Ballina,75,IE,1543516200,93,54.11,-9.15,46.4,13.87
140,Pisco,0,PE,1543514400,30,-13.71,-76.2,71.6,10.29
141,Smithers,75,CA,1543514400,94,54.78,-127.17,32.0,2.24
142,Los Llanos de Aridane,75,ES,1543516200,77,28.66,-17.92,68.0,10.29
143,Rujiena,20,LV,1543518294,85,57.9,25.33,15.96,19.26
144,Coihaique,75,CL,1543514400,63,-45.58,-72.07,60.8,5.82
145,Razdolinsk,32,RU,1543518294,65,58.42,94.62,2.64,4.94
146,Riacho de Santana,8,BR,1543518295,67,-13.61,-42.94,86.43,6.62
147,Maningrida,44,AU,1543518295,88,-12.05,134.23,83.33,7.18
148,Sokoto,0,NG,1543518295,20,13.06,5.24,80.4,8.52
149,Bluff,0,AU,1543518295,58,-23.58,149.07,63.03,3.94
150,Puri,20,ID,1543516200,94,-7.54,112.45,78.8,6.93
151,Tuatapere,48,NZ,1543518296,100,-46.13,167.69,54.93,2.26
152,Awjilah,0,LY,1543518296,75,29.14,21.3,58.76,10.76
153,Tezu,8,IN,1543518296,55,27.93,96.16,54.44,2.04
154,Shubarshi,0,KZ,1543518296,75,48.59,57.19,11.96,15.01
155,Susanville,90,US,1543516500,81,40.42,-120.65,42.8,8.05
156,Mawlaik,0,MM,1543518297,92,23.63,94.42,58.76,3.04
157,Ancud,90,CL,1543514400,87,-41.87,-73.83,59.0,14.99
158,Aguimes,20,ES,1543516200,88,27.91,-15.45,68.0,13.87
159,Chacabuco,0,AR,1543518298,55,-34.64,-60.47,80.36,6.85
160,Klaksvik,88,FO,1543517400,93,62.23,-6.59,44.6,10.29
161,Kamsack,90,CA,1543515600,92,51.56,-101.9,21.2,5.82
162,Ylivieska,92,FI,1543518298,89,64.07,24.53,35.85,13.22
163,Kamenka,56,RU,1543518299,85,53.19,44.05,14.34,7.18
164,Russell,68,AR,1543518299,63,-33.01,-68.8,68.93,3.38
165,Fengrun,0,CN,1543518299,64,39.83,118.12,21.0,5.17
166,Bobrovytsya,0,UA,1543516200,85,50.75,31.38,14.0,6.71
167,Perth,20,GB,1543517400,81,56.4,-3.43,48.2,18.34
168,Sao Joao da Barra,0,BR,1543514400,55,-21.64,-41.05,86.0,16.11
169,Chara,75,GR,1543513800,70,39.42,22.43,44.6,9.17
170,Saldanha,92,PT,1543518300,99,41.42,-6.55,47.28,6.96
171,Port Lincoln,0,AU,1543518301,100,-34.72,135.86,52.28,4.05
172,Ilulissat,75,GL,1543513800,85,69.22,-51.1,19.4,3.36
173,Mogwase,92,ZA,1543518301,42,-25.28,27.22,77.48,4.72
174,Pathein,0,MM,1543518301,94,16.78,94.73,71.49,2.71
175,Luocheng,12,CN,1543518302,74,28.29,114.55,42.87,3.71
176,Vila,0,IT,1543517400,93,45.18,8.4,39.2,1.12
177,Vila Velha,0,BR,1543514400,66,-3.71,-38.6,84.2,12.75
178,Nizhniy Tagil,0,RU,1543518303,64,57.92,59.97,3.27,8.08
179,Amapa,75,HN,1543518000,66,15.09,-87.97,86.0,6.93
180,Todos Santos,5,MX,1543517220,57,23.45,-110.23,82.4,10.29
181,Kadi,0,IN,1543516200,59,23.3,72.33,64.4,7.4
182,Tasiilaq,75,GL,1543513800,67,65.61,-37.64,19.4,4.7
183,Babanka,0,UA,1543518304,78,48.71,30.45,14.93,10.31
184,Fukue,20,JP,1543514400,57,35.03,136.69,51.8,16.11
185,Yulara,40,AU,1543514400,30,-25.24,130.99,86.0,18.34
186,Atambua,100,ID,1543518304,100,-9.11,124.89,77.52,4.94
187,Devonport,80,AU,1543518304,97,-41.18,146.36,48.68,2.37
188,Manggar,12,ID,1543518305,100,-2.88,108.27,76.08,2.71
189,Komsomolskiy,64,RU,1543518305,67,67.55,63.78,-9.51,6.73
190,Shimoda,0,JP,1543518305,100,34.7,138.93,59.07,13.78
191,Necochea,44,AR,1543518305,80,-38.55,-58.74,71.36,10.09
192,Cabo San Lucas,5,MX,1543517220,57,22.89,-109.91,82.4,10.29
193,Sudbury,90,CA,1543514400,79,46.49,-80.99,28.4,3.38
194,Bilibino,80,RU,1543518306,33,68.06,166.44,-23.73,2.82
195,Toyohashi,20,JP,1543514400,57,34.77,137.39,51.8,16.11
196,Constantine,0,DZ,1543516200,85,36.36,6.61,50.0,2.15
197,Isangel,64,VU,1543518307,97,-19.55,169.27,80.63,10.31
198,Sao Jose da Coroa Grande,0,BR,1543518307,72,-8.9,-35.15,84.14,10.98
199,Hobyo,76,SO,1543518307,90,5.35,48.53,78.38,14.23
200,Portland,75,US,1543514160,89,45.52,-122.67,46.94,3.04
201,Nanortalik,8,GL,1543518308,84,60.14,-45.24,27.03,4.94
202,Coquimbo,75,CL,1543514400,68,-29.95,-71.34,64.4,11.41
203,Baherden,0,TM,1543518308,77,38.44,57.43,45.66,5.61
204,Aklavik,90,CA,1543516560,92,68.22,-135.01,10.4,4.7
205,Taoudenni,44,ML,1543518308,22,22.68,-3.98,71.09,7.18
206,Uyuni,0,BO,1543518309,7,-20.46,-66.82,66.9,11.21
207,Omaruru,48,NA,1543518309,26,-21.42,15.95,84.36,7.18
208,Kavieng,68,PG,1543518309,100,-2.57,150.8,84.27,10.76
209,Wuda,0,CN,1543518309,63,39.5,106.72,16.14,4.72
210,Omsukchan,24,RU,1543518309,29,62.53,155.8,-21.84,12.21
211,Tynda,8,RU,1543518310,40,55.15,124.74,-27.33,2.59
212,Pevek,88,RU,1543518310,85,69.7,170.27,15.42,14.79
213,Longyearbyen,75,NO,1543513800,58,78.22,15.63,26.6,20.8
214,Cidreira,20,BR,1543518311,89,-30.17,-50.22,79.5,4.61
215,Huarmey,0,PE,1543518311,48,-10.07,-78.15,75.72,4.72
216,Trairi,68,BR,1543518311,99,-3.28,-39.27,81.26,19.04
217,Berea,90,US,1543517580,65,41.37,-81.85,32.0,11.41
218,Comodoro Rivadavia,0,AR,1543514400,35,-45.87,-67.48,71.6,20.8
219,Vega de Alatorre,68,MX,1543518311,90,20.03,-96.65,71.04,1.92
220,Grindavik,90,IS,1543516200,100,63.84,-22.43,32.0,35.57
221,Esperance,20,TT,1543514400,62,10.24,-61.45,86.0,11.41
222,Fougamou,88,GA,1543518312,98,-1.22,10.59,74.51,2.59
223,Merauke,64,ID,1543518313,100,-8.49,140.4,75.41,6.4
224,Santana,75,BR,1543514400,55,-0.06,-51.18,91.4,9.17
225,Juye,88,CN,1543518313,93,35.39,116.09,45.39,1.92
226,Bowen,90,AU,1543514400,93,-20.01,148.25,66.2,3.36
227,Igrim,24,RU,1543518314,70,63.19,64.42,-15.68,2.93
228,Maceio,40,BR,1543514400,62,-9.67,-35.74,84.2,16.11
229,Vallenar,0,CL,1543518314,71,-28.58,-70.76,70.05,3.04
230,Pangnirtung,90,CA,1543514400,92,66.15,-65.72,12.2,2.24
231,Salalah,0,OM,1543513800,34,17.01,54.1,78.8,11.41
232,Broome,40,GB,1543517760,81,52.47,1.45,51.8,16.11
233,Lebu,0,ET,1543518315,76,8.96,38.73,53.76,7.07
234,Shakawe,32,BW,1543518315,56,-18.36,21.84,81.03,9.75
235,Shupiyan,0,IN,1543518316,68,33.72,74.83,22.98,2.15
236,Yerbogachen,44,RU,1543518316,37,61.28,108.01,-24.99,3.15
237,Karratha,20,AU,1543518316,82,-20.74,116.85,68.7,9.75
238,Ugoofaaru,88,MV,1543518316,100,5.67,73.0,79.73,4.16
239,Mahon,40,IE,1543516200,93,51.89,-8.4,42.8,10.29
240,Aracati,80,BR,1543518317,47,-4.56,-37.77,90.39,11.54
241,Lavrentiya,32,RU,1543518317,100,65.58,-170.99,25.73,11.65
242,Santa Isabel do Rio Negro,76,BR,1543518318,79,-0.41,-65.02,84.59,6.96
243,Mitsamiouli,20,KM,1543514400,69,-11.38,43.28,80.6,9.17
244,Dingle,64,PH,1543518318,86,11.0,122.67,77.48,13.89
245,Bubaque,0,GW,1543518319,86,11.28,-15.83,86.25,5.95
246,Corning,90,US,1543517580,72,42.14,-77.05,35.96,12.75
247,Benguela,0,AO,1543518320,93,-12.58,13.4,78.06,6.62
248,Puerto Ayora,75,EC,1543514400,61,-0.74,-90.35,80.6,16.11
249,Abonnema,20,NG,1543514400,83,4.71,6.79,82.4,8.41
250,Margate,75,AU,1543516200,82,-43.03,147.26,57.2,4.7
251,Constitucion,5,MX,1543516860,58,23.99,-104.67,59.0,3.36
252,Songea,20,TZ,1543514400,57,-10.68,35.65,77.0,6.93
253,Katangli,56,RU,1543518322,100,51.71,143.23,16.59,21.27
254,San Andres,24,PH,1543518323,100,13.32,122.68,80.18,17.36
255,Kochubey,80,RU,1543518323,100,44.39,46.54,31.8,13.67
256,Chapais,90,CA,1543514400,79,49.78,-74.86,24.8,3.36
257,Honningsvag,48,NO,1543517400,79,70.98,25.97,26.6,18.34
258,Kruisfontein,64,ZA,1543518324,80,-34.0,24.73,66.14,19.82
259,Ibra,20,OM,1543518324,95,22.69,58.55,60.11,2.82
260,Keighley,40,GB,1543517400,76,53.87,-1.9,48.2,11.41
261,Pacific Grove,75,US,1543517700,86,36.62,-121.92,57.2,18.34
262,Port Blair,68,IN,1543518326,97,11.67,92.75,84.72,10.98
263,Kieta,92,PG,1543518326,100,-6.22,155.63,76.76,2.59
264,The Valley,20,AI,1543514400,62,18.22,-63.06,84.2,10.29
265,Terney,0,RU,1543518327,100,45.05,136.61,16.86,20.38
266,Mayo,90,CA,1543514400,92,63.59,-135.9,19.4,2.93
267,Venezuela,44,CU,1543518327,73,21.74,-78.8,82.56,8.63
268,Le Port,12,FR,1543518404,75,42.87,1.37,27.03,1.59
269,Mgandu,20,TZ,1543518328,38,-5.96,34.11,78.87,11.21
270,Nome,90,US,1543517700,73,30.04,-94.42,75.02,16.11
271,Vostok,48,RU,1543518329,69,46.45,135.83,0.84,3.15
272,Tautira,20,PF,1543514400,70,-17.73,-149.15,84.2,3.36
273,Tual,44,ID,1543518330,100,-5.67,132.75,84.0,10.65
274,Geraldton,90,CA,1543514400,92,49.72,-86.95,24.8,5.82
275,Aksu,90,KZ,1543516200,86,52.04,76.93,30.2,29.08
276,Mogadishu,0,SO,1543518331,98,2.04,45.34,81.53,16.69
277,La Ronge,90,CA,1543517520,85,55.1,-105.3,17.6,6.93
278,Koumac,24,NC,1543518331,87,-20.56,164.28,79.19,9.64
279,Taltal,0,CL,1543518331,72,-25.41,-70.49,68.25,3.6
280,Trinidad,75,UY,1543514400,61,-33.52,-56.9,77.0,5.82
281,Egvekinot,80,RU,1543518332,87,66.32,-179.17,16.32,2.71
282,Itoman,20,JP,1543516200,60,26.12,127.67,68.0,6.93
283,Puerto Leguizamo,48,CO,1543518333,67,-0.19,-74.78,87.6,4.72
284,Kambove,48,CD,1543518333,91,-10.88,26.6,67.17,2.59
285,Makakilo City,1,US,1543514220,78,21.35,-158.09,71.96,3.36
286,Ahipara,92,NZ,1543518333,97,-35.17,173.16,61.05,14.45
287,Umm Bab,1,QA,1543514160,78,25.21,50.81,67.64,6.93
288,Nkhata Bay,12,MW,1543518334,73,-11.61,34.3,77.61,6.62
