,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
289,Batangafo,44,CF,1543518334,34,7.3,18.29,86.21,6.96
290,Teguldet,88,RU,1543518334,80,57.31,88.17,17.85,10.54
291,Krasnoarmeysk,0,RU,1543516200,85,56.12,38.15,14.0,11.18
292,Lamu,20,ID,1543518334,100,0.57,122.3,72.21,3.15
293,Minas,75,UY,1543514400,68,-34.38,-55.24,71.6,17.22
294,Beauchamps,20,FR,1543516200,81,48.83,-1.36,51.8,12.75
295,San Patricio,56,PY,1543518335,86,-26.98,-56.83,80.85,3.04
296,Kishi,0,NG,1543518335,29,9.08,3.85,83.06,5.95
297,Walvis Bay,0,NA,1543514400,63,-22.95,14.51,64.4,6.93
298,Saint-Michel-des-Saints,64,CA,1543518336,73,46.68,-73.92,32.34,6.17
299,Cherskiy,76,RU,1543518336,73,68.75,161.3,-11.04,0.58
300,Rutul,75,RU,1543514400,67,41.53,47.42,57.2,13.87
301,Dongning,0,CN,1543518336,54,44.06,131.12,3.68,4.16
302,Fortuna,0,ES,1543516200,93,38.18,-1.13,55.4,5.82
303,Umm Lajj,48,SA,1543518337,100,25.02,37.27,67.71,5.28
304,Ponta Delgada,20,PT,1543516200,67,37.73,-25.67,62.6,10.29
305,Harper,1,US,1543516500,55,30.3,-99.24,73.04,8.05
306,Gimbi,0,ET,1543518337,53,8.81,37.79,59.07,6.4
307,Aykino,56,RU,1543518414,88,62.22,49.99,11.82,10.87
308,Angoram,92,PG,1543518338,98,-4.06,144.07,75.72,2.26
309,Broken Hill,0,AU,1543514400,50,-31.97,141.45,57.2,6.93
310,Townsville,0,AU,1543516200,83,-19.26,146.82,71.6,1.12
311,Easton,44,US,1543517760,57,42.02,-71.13,46.94,23.04
312,Sharqpur,0,PK,1543515900,67,31.46,74.1,60.8,2.82
313,Las Vegas,20,US,1543515300,33,36.17,-115.15,62.96,21.92
314,Dongli,0,CN,1543514400,72,24.18,117.61,60.8,4.47
315,Junin,0,PE,1543518340,15,-16.45,-71.58,60.51,5.06
316,Ustka,0,PL,1543518340,100,54.58,16.86,32.25,26.87
317,Bennington,90,US,1543517640,66,42.88,-73.2,42.98,8.05
318,Hofn,75,IS,1543514400,64,64.25,-15.21,39.2,21.92
319,Dunedin,20,NZ,1543518341,91,-45.87,170.5,49.17,11.21
320,Hambantota,20,LK,1543515000,100,6.12,81.12,75.2,4.7
321,Gold Coast,0,AU,1543516200,93,-28.0,153.41,62.6,4.7
322,Torbay,90,CA,1543516500,100,47.66,-52.73,41.0,2.24
323,Winnemucca,90,US,1543514820,95,40.97,-117.74,33.08,4.7
324,Jinchang,8,CN,1543518342,70,38.52,102.19,17.67,3.15
325,Port Moresby,12,PG,1543518342,97,-9.47,147.16,82.43,5.39
326,Konevo,80,BG,1543518342,94,41.67,25.61,25.77,14.79
327,Priiskovyy,12,RU,1543518342,74,51.93,116.63,-12.66,3.15
328,Saint-Pierre,0,FR,1543516200,76,48.95,4.24,53.6,14.99
329,Biltine,0,TD,1543518343,32,14.53,20.93,75.0,6.29
330,Impfondo,24,CD,1543518343,89,1.62,18.06,77.39,1.81
331,Zaozerne,0,UA,1543518344,85,51.37,23.94,18.66,17.25
332,Mascote,75,BR,1543514400,78,-15.56,-39.3,82.4,6.93
333,Oga,0,NG,1543518344,41,8.18,5.65,82.88,3.27
334,Leh,68,IN,1543518102,70,34.16,77.58,0.3,1.7
335,Praia,40,BR,1543514400,35,-20.25,-43.81,84.2,5.82
336,Waipawa,92,NZ,1543518264,99,-39.94,176.59,55.56,5.17
337,Nioro,24,GM,1543518344,26,13.79,-15.05,92.24,7.96
338,Kloulklubed,64,PW,1543518345,100,7.04,134.26,82.88,10.65
339,Demba,12,CD,1543518345,90,-5.47,22.27,77.07,1.7
340,Cockburn Town,44,TC,1543518345,100,21.46,-71.14,79.86,11.65
341,Udomlya,0,RU,1543518345,71,57.88,35.0,11.51,11.77
342,Yar-Sale,56,RU,1543518345,81,66.83,70.83,-18.38,3.49
343,Snasa,0,NO,1543517400,74,64.25,12.38,37.4,11.41
344,Carnarvon,24,ZA,1543518346,14,-30.97,22.13,65.73,3.71
345,Luwuk,8,ID,1543518346,100,-0.95,122.79,77.66,2.15
346,Viedma,48,AR,1543518119,54,-40.81,-62.99,80.81,9.75
347,Sayyan,0,YE,1543518346,65,15.17,44.32,53.49,5.73
348,Japura,80,ID,1543518347,99,-0.42,102.29,72.57,2.48
349,Qandala,0,SO,1543518347,96,11.47,49.87,66.59,6.17
350,Ondjiva,48,AO,1543518172,58,-17.07,15.73,79.01,4.61
351,Chingirlau,48,KZ,1543518347,83,51.09,54.08,8.09,9.98
352,Saint Anthony,20,US,1543517760,63,43.97,-111.68,35.06,3.94
353,Inuvik,90,CA,1543516560,85,68.36,-133.71,10.4,3.36
354,Porto Empedocle,40,IT,1543514100,62,37.29,13.53,59.0,6.93
355,Tutoia,20,BR,1543514400,52,-2.76,-42.27,89.6,19.46
356,Narkanda,8,IN,1543518348,54,31.25,77.46,40.89,2.15
357,Masvingo,92,ZW,1543518348,99,-20.08,30.83,58.31,13.0
358,Merritt Island,20,US,1543517760,59,28.54,-80.67,62.6,8.05
359,Caska,90,MK,1543516200,59,41.65,21.66,37.4,6.93
360,Bayir,75,TR,1543517400,82,37.27,28.22,55.4,5.82
361,Lompoc,75,US,1543514160,74,34.64,-120.46,62.96,13.87
362,Cordoba,36,CO,1543518349,100,5.59,-73.79,60.74,0.92
363,Nikolskoye,75,RU,1543516200,78,59.7,30.79,17.6,8.95
364,Male,0,UA,1543518349,77,50.74,33.7,7.59,7.63
365,Batagay,32,RU,1543518349,0,67.65,134.64,-49.2,2.93
366,Goure,24,NE,1543518350,15,13.98,10.27,77.61,9.08
367,Moyale,0,ET,1543518350,77,3.52,39.05,68.7,9.19
368,Kuruman,0,ZA,1543518350,16,-27.46,23.43,72.84,8.3
369,Resistencia,75,AR,1543514400,62,-27.45,-58.99,84.2,11.41
370,Brownfield,1,US,1543516500,14,33.18,-102.27,75.38,12.75
371,Port Macquarie,8,AU,1543514400,77,-31.43,152.91,62.6,8.05
372,Qasigiannguit,75,GL,1543513800,85,68.82,-51.19,19.4,3.36
373,Aleksandrov Gay,0,RU,1543518351,78,50.14,48.57,9.84,8.97
374,Marrakesh,0,MA,1543516200,60,31.63,-7.99,68.0,4.7
375,Plouzane,20,FR,1543516200,76,48.38,-4.62,51.8,19.46
376,Abha,0,SA,1543514400,82,18.22,42.5,64.4,2.24
377,Sangar,36,RU,1543518352,0,63.92,127.47,-41.1,2.71
378,Juneau,90,US,1543515960,92,58.3,-134.42,39.92,6.93
379,Ubinskoye,92,RU,1543518352,94,55.31,79.68,34.41,24.74
380,Ust-Kulom,80,RU,1543518118,78,61.69,53.69,6.83,6.51
381,Dicabisagan,100,PH,1543518353,100,17.08,122.42,75.18,11.65
382,Bahia Blanca,44,AR,1543518353,49,-38.72,-62.27,82.65,8.19
383,Talnakh,56,RU,1543518353,32,69.49,88.39,-21.84,2.93
384,Salina,40,US,1543516500,55,36.29,-95.15,64.4,14.99
385,Marzuq,0,YE,1543518353,44,14.4,46.47,66.09,4.83
386,Barpathar,8,IN,1543518353,87,26.3,93.87,53.85,1.48
387,Vanavara,44,RU,1543518354,30,60.35,102.28,-21.35,2.71
388,Bonwapitse,0,BW,1543518354,52,-23.08,26.7,72.71,17.81
389,Mehamn,0,NO,1543517400,79,71.03,27.85,26.6,10.29
390,Fort Nelson,90,CA,1543514400,92,58.81,-122.69,21.2,2.93
391,Gualan,68,GT,1543518354,82,15.12,-89.36,72.89,2.48
392,Alice Springs,0,AU,1543516200,31,-23.7,133.88,75.2,9.17
393,Flinders,90,AU,1543514400,87,-34.58,150.85,59.0,5.82
394,Marovoay,40,MG,1543514400,78,-16.11,46.64,82.4,6.93
395,Bam,0,IR,1543518355,74,29.11,58.36,40.44,3.15
396,Mangrol,0,IN,1543518355,86,25.33,76.51,58.89,2.93
397,Haicheng,0,CN,1543518355,52,40.85,122.74,7.91,4.05
398,Dikson,24,RU,1543518356,100,73.51,80.55,-11.45,12.77
399,Plettenberg Bay,88,ZA,1543518356,91,-34.05,23.37,65.33,23.4
400,Thompson,75,CA,1543514400,85,55.74,-97.86,15.8,4.7
401,Ulladulla,90,AU,1543514400,87,-35.36,150.48,59.0,5.82
402,Naryan-Mar,80,RU,1543518356,68,67.67,53.09,2.28,13.22
403,Mariestad,88,SE,1543517400,93,58.71,13.82,37.4,13.87
404,Dhanbad,0,IN,1543518357,80,23.8,86.43,61.32,2.93
405,San Cristobal,75,EC,1543514400,56,-0.39,-78.55,68.0,1.12
406,Oussouye,0,SN,1543514400,74,12.49,-16.54,86.0,2.24
407,Olga,20,US,1543517700,77,34.11,-118.17,60.98,3.36
408,Hirara,0,JP,1543518357,100,24.8,125.28,74.06,19.37
409,Sri Aman,36,MY,1543514400,100,1.24,111.46,75.2,2.24
410,Birao,0,CF,1543518358,29,10.3,22.78,81.93,8.19
411,Ewa Beach,1,US,1543514220,78,21.32,-158.01,71.96,3.36
412,Opuwo,68,NA,1543518358,16,-18.06,13.84,88.64,8.41
413,Mayna,68,RU,1543518358,74,53.0,91.49,27.93,3.94
414,Jackson,90,US,1543517580,77,35.61,-88.82,57.2,12.75
415,Dauphin,90,CA,1543514400,85,51.15,-100.04,23.0,4.7
416,General Jose Eduvigis Diaz,40,PY,1543514400,65,-27.17,-58.42,82.4,9.17
417,Lasa,40,CY,1543516200,73,34.92,32.53,69.8,6.93
418,Svarychiv,0,UA,1543516200,92,48.96,24.19,12.2,4.47
419,Antsohihy,92,MG,1543518360,100,-14.88,47.99,72.71,2.59
420,San Carlos de Bariloche,75,AR,1543514400,45,-41.13,-71.31,62.6,24.16
421,Yurty,20,RU,1543518360,72,56.05,97.64,5.61,5.39
422,Nhulunbuy,0,AU,1543516200,88,-12.18,136.78,80.6,4.7
423,Evensk,8,RU,1543518360,100,61.92,159.24,2.01,18.48
424,Myrtle Beach,1,US,1543517760,33,33.7,-78.89,53.96,4.7
425,Calabozo,8,VE,1543518361,47,8.92,-67.43,91.88,13.0
426,Yafran,80,LY,1543518361,87,32.06,12.53,51.87,7.74
427,Buckeye,1,US,1543517580,36,33.37,-112.58,62.96,6.93
428,Kalmunai,68,LK,1543518361,99,7.42,81.82,75.81,3.15
429,Deputatskiy,36,RU,1543518362,0,69.3,139.9,-31.11,2.59
430,Nsanje,92,MZ,1543518362,99,-16.92,35.26,71.31,4.61
431,Quatre Cocos,40,MU,1543514400,83,-20.21,57.76,77.0,6.93
432,Fairview,40,US,1543517580,46,40.81,-74.0,48.02,12.66
433,Kiunga,92,PG,1543518364,98,-6.12,141.3,72.08,2.37
434,Krasnorechenskiy,0,RU,1543518364,45,44.63,135.35,10.88,9.86
435,Saint-Esteve,0,FR,1543516200,93,42.71,2.84,46.4,5.82
436,Kargasok,64,RU,1543518365,85,59.06,80.87,12.23,7.74
437,Castrillon,75,ES,1543516200,87,43.4,-6.79,55.4,2.15
438,Kurush,76,RU,1543514400,87,41.28,47.83,46.4,3.36
439,Yumen,76,CN,1543518365,65,40.29,97.04,28.61,11.77
440,Fukuma,0,JP,1543516200,81,33.77,130.47,50.0,2.24
441,Gillette,1,US,1543513980,67,44.29,-105.5,44.06,8.05
442,Port-Cartier,75,CA,1543514400,51,50.03,-66.88,35.6,17.25
443,Nizhniy Kuranakh,56,RU,1543518366,82,58.84,125.49,-20.0,2.59
444,Cape Coast,24,GH,1543518366,73,5.11,-1.24,82.92,4.61
445,Abu Samrah,76,SY,1543518366,85,35.3,37.18,60.06,6.85
446,Port Augusta,0,AU,1543514400,93,-32.49,137.76,55.4,3.36
447,Durango,1,US,1543517580,38,37.28,-107.88,51.98,6.93
448,Dhidhdhoo,92,MV,1543518367,100,6.88,73.1,79.19,8.63
449,Mahebourg,40,MU,1543514400,83,-20.41,57.7,77.0,6.93
450,Morant Bay,20,JM,1543518000,55,17.88,-76.41,87.8,5.82
451,Kargil,64,PK,1543518367,80,34.56,76.13,-1.86,0.81
452,Severo-Kurilsk,12,RU,1543518368,100,50.68,156.12,31.71,22.62
453,Strathpeffer,75,GB,1543517400,93,57.59,-4.54,44.6,6.93
454,Manjacaze,0,MZ,1543518368,59,-24.71,33.88,71.31,14.12
455,Afsin,88,TR,1543518368,100,38.25,36.91,41.25,2.71
456,Terra Nova,40,BR,1543514400,74,-12.41,-38.62,84.2,13.87
457,Tabou,80,CI,1543518369,100,4.42,-7.36,80.22,8.19
458,Mendi,12,ET,1543518369,68,9.8,35.1,62.58,2.93
459,Berdigestyakh,48,RU,1543518369,49,62.1,126.7,-30.12,2.93
460,Asmar,0,AF,1543518369,75,35.03,71.36,33.24,2.59
461,Iralaya,75,HN,1543514400,70,15.0,-83.23,87.8,10.29
462,Gualaca,75,PA,1543514400,83,8.54,-82.3,82.4,9.17
463,Byron Bay,0,AU,1543516200,93,-28.65,153.62,62.6,4.7
464,Baglan,88,GB,1543517400,81,51.62,-3.81,51.8,14.99
465,Doha,0,QA,1543516200,73,25.29,51.53,71.6,5.82
466,Siocon,68,PH,1543518371,100,11.03,124.04,80.63,12.77
467,Laguna,5,MX,1543516860,44,27.52,-110.01,78.8,6.93
468,Scarborough,8,GB,1543517400,81,54.28,-0.41,50.0,13.87
469,Lata,88,IN,1543518372,66,30.78,78.62,39.99,1.81
470,Lagoa,75,PT,1543516200,88,37.14,-8.45,62.6,12.75
471,Zhigansk,24,RU,1543518372,0,66.77,123.37,-33.68,2.93
472,Karachi,0,PK,1543515900,37,24.87,67.03,69.8,10.29
473,Gidam,0,IN,1543518373,87,18.98,81.4,55.02,3.15
474,Omboue,88,GA,1543518373,100,-1.57,9.26,76.35,7.18
475,Antofagasta,40,CL,1543514400,64,-23.65,-70.4,68.0,14.99
476,Beloha,64,MG,1543518450,76,-25.17,45.06,70.64,11.54
477,Aksarka,64,RU,1543518374,81,66.56,67.8,-18.6,4.16
478,Carauari,56,BR,1543518451,74,-4.88,-66.9,86.03,4.05
479,Tucupita,32,VE,1543518375,50,9.06,-62.05,90.66,9.19
480,Jedrzejow,0,PL,1543518375,66,50.64,20.3,24.29,14.0
481,Hubli,12,IN,1543518376,66,15.35,75.17,66.72,7.4
482,Soligalich,80,RU,1543518376,80,59.08,42.29,24.56,15.35
483,Acapulco,90,MX,1543516800,100,16.86,-99.88,71.6,4.7
484,Abrau-Dyurso,75,RU,1543516200,92,44.7,37.6,24.8,35.79
485,Savannah Bight,0,HN,1543518377,100,16.45,-85.85,81.66,11.65
486,Hosanagara,36,IN,1543518377,60,13.92,75.07,75.18,4.61
487,Golfito,44,CR,1543518377,95,8.64,-83.17,81.08,4.16
488,Kinablangan,56,PH,1543518377,100,7.69,126.55,77.21,9.64
489,Xacmaz,88,AZ,1543518377,95,41.46,48.81,31.76,7.4
490,Florianopolis,75,BR,1543514400,78,-27.6,-48.55,77.0,13.87
491,Henties Bay,0,NA,1543518378,85,-22.12,14.28,64.02,5.39
492,Gao,0,ML,1543518378,21,16.28,-0.04,84.09,6.96
493,Pizarro,36,CO,1543518378,93,4.95,-77.37,80.85,4.61
494,Kastamonu,92,TR,1543518378,100,41.38,33.78,36.08,4.61
495,Hovd,75,NO,1543517400,56,63.83,10.7,44.6,14.99
496,Veinticinco de Mayo,24,AR,1543518379,79,-27.38,-54.75,82.79,4.61
497,Jardim de Piranhas,8,BR,1543518379,37,-6.38,-37.35,94.53,8.75
498,Nuuk,20,GL,1543513800,85,64.17,-51.74,23.0,11.41
499,Ormara,12,PK,1543518380,92,25.21,64.64,74.51,6.29
500,Zhangye,12,CN,1543518380,66,38.94,100.46,19.79,3.6
501,Ust-Omchug,0,RU,1543518380,0,61.13,149.63,-35.93,2.48
502,Galesong,20,ID,1543516200,100,-5.32,119.37,75.2,2.24
503,Pangai,75,TO,1543514400,83,-19.8,-174.35,78.8,11.54
504,Pontianak,36,ID,1543518381,100,-0.02,109.34,77.97,0.92
505,Sioux Lookout,90,CA,1543516680,92,50.1,-91.92,26.6,4.7
506,Tchamba,0,TG,1543518382,28,9.03,1.42,86.07,6.96
507,Kuito,20,AO,1543518382,72,-12.38,16.94,70.59,6.17
508,Paamiut,0,GL,1543518382,98,61.99,-49.67,30.0,15.01
509,Lahad Datu,20,MY,1543518382,99,5.02,118.33,76.44,3.6
510,Eyl,92,SO,1543518382,91,7.98,49.82,79.59,18.7
511,Faya,0,SA,1543514400,82,18.39,42.45,64.4,2.24
512,Mmabatho,0,ZA,1543514400,32,-25.85,25.61,80.6,13.87
513,Luba,0,PH,1543518383,88,17.32,120.7,68.48,4.38
514,Goba,100,ET,1543518383,78,7.01,39.97,57.63,3.94
515,Manga,0,BF,1543518384,25,11.67,-1.07,84.81,7.07
516,Thinadhoo,68,MV,1543518121,100,0.53,72.93,81.39,3.15
517,Tripoli,36,GR,1543518384,96,37.51,22.37,37.34,5.39
518,San Vicente,40,SV,1543513800,62,13.64,-88.78,89.6,5.82
519,Pilani,8,IN,1543518386,83,28.36,75.6,54.57,2.82
520,Benjamin Constant,75,BR,1543516500,94,-4.38,-70.03,89.6,2.24
521,Anadyr,90,RU,1543514400,84,64.73,177.51,-0.41,17.9
522,Jacksonville Beach,1,US,1543517580,39,30.29,-81.39,60.08,4.38
523,Tura,0,IN,1543518386,83,25.52,90.21,57.18,2.59
524,Alegrete,80,BR,1543518387,77,-29.79,-55.79,84.09,8.3
525,Aripuana,92,BR,1543518387,87,-9.17,-60.63,81.44,2.82
526,Muros,20,ES,1543516200,93,42.77,-9.06,53.6,5.82
527,Hayden,90,US,1543517760,88,47.77,-116.79,42.98,3.36
528,Takhtamygda,12,RU,1543518387,31,54.1,123.57,-22.25,2.71
529,Cardston,90,CA,1543514400,64,49.2,-113.32,39.2,12.75
530,Pasighat,0,IN,1543518388,57,28.06,95.33,56.01,2.93
531,Bandar-e Anzali,75,IR,1543514400,87,37.47,49.46,57.2,9.17
532,Nishihara,40,JP,1543516200,62,35.74,139.53,53.6,13.87
533,Ganzhou,0,CN,1543518388,81,25.86,114.93,44.04,2.26
534,Moron,20,VE,1543518388,59,10.49,-68.2,82.43,3.94
535,Bonavista,64,CA,1543518389,93,48.65,-53.11,39.27,18.59
536,Tokur,64,RU,1543518389,62,53.13,132.9,-9.15,3.15
537,Aasiaat,88,GL,1543518390,100,68.71,-52.87,25.68,14.0
538,Sawakin,32,SD,1543518390,84,19.1,37.33,78.83,7.63
539,Shanghai,0,CN,1543516200,93,31.23,121.49,53.6,3.6
540,Muroto,0,JP,1543518390,100,33.37,134.14,45.66,7.07
541,Sovetskiy,68,RU,1543518390,85,56.76,48.47,14.39,12.66
542,Manaus,40,BR,1543514400,79,-3.13,-59.98,84.2,8.05
543,Baracoa,92,CU,1543518391,100,20.35,-74.5,77.21,7.74
544,Kargat,92,RU,1543518391,93,55.19,80.28,34.01,25.3
545,Providencia,40,CO,1543514400,73,1.24,-77.6,71.6,6.93
546,Cayenne,75,GF,1543516200,74,4.94,-52.33,84.2,12.75
547,Kilindoni,0,TZ,1543518391,100,-7.91,39.67,83.01,10.76
548,Corn Island,88,NI,1543518392,100,12.17,-83.04,82.38,15.12
549,Hasaki,20,JP,1543516200,87,35.73,140.83,46.4,9.17
550,Bud,40,NO,1543517400,57,62.91,6.91,50.0,18.34
551,Sika,8,NG,1543518392,30,8.57,4.45,84.09,6.29
552,Fairbanks,90,US,1543515780,100,64.84,-147.72,17.6,4.27
553,Port Hedland,24,AU,1543516200,78,-20.31,118.58,73.4,10.29
554,Nago,56,IT,1543517400,86,45.88,10.89,39.2,2.24
555,Manohar Thana,0,IN,1543518393,86,24.24,76.8,57.9,3.38
556,La Asuncion,40,EC,1543514400,68,-1.64,-78.74,71.6,11.41
557,Zabid,0,YE,1543518393,62,14.2,44.5,53.67,6.4
558,Niamey,0,NE,1543514400,9,13.52,2.11,84.2,5.82
559,Sistranda,75,NO,1543517400,90,63.73,8.83,44.6,23.04
560,Mount Gambier,90,AU,1543514400,93,-37.83,140.78,44.6,2.24
561,Honiara,48,SB,1543518394,100,-9.43,159.96,73.16,2.15
562,Husavik,92,CA,1543518394,98,50.56,-96.99,24.74,4.05
563,Biak,8,ID,1543518395,100,-0.91,122.88,77.66,2.15
564,Caravelas,0,BR,1543518395,100,-17.73,-39.27,77.66,11.32
565,Vardo,1,US,1543517580,45,39.62,-77.74,39.2,3.36
566,Ha Giang,76,VN,1543518395,94,22.83,104.99,58.17,1.81
567,Kidal,0,ML,1543518395,28,18.44,1.41,75.14,2.15
568,Chai Nat,92,TH,1543518395,63,15.18,100.13,81.48,6.62
569,Hermosillo,40,MX,1543516800,29,29.09,-110.96,78.8,5.82
570,Richards Bay,44,ZA,1543518396,75,-28.77,32.06,65.82,4.94
571,Umm Kaddadah,0,SD,1543518396,22,13.6,26.69,75.27,8.63
572,Havoysund,56,NO,1543517400,79,71.0,24.66,26.6,18.34
573,Lazarev,8,RU,1543518396,68,52.23,141.51,10.11,12.55
574,Isla Vista,75,US,1543517460,87,34.41,-119.86,62.96,21.72
575,Lanzhou,0,CN,1543514400,47,36.06,103.82,33.8,4.47
576,Kolyshley,64,RU,1543518397,78,52.7,44.54,14.61,5.73
577,Bundaberg,0,AU,1543514400,88,-24.87,152.35,66.2,6.93
578,Skegness,20,GB,1543517400,87,53.14,0.34,51.8,20.8
579,Hegang,8,CN,1543518397,61,47.34,130.28,-7.62,3.94
580,Blaine,90,US,1543517700,78,45.16,-93.23,30.2,11.41
581,Bathsheba,40,BB,1543514400,66,13.22,-59.52,86.0,18.34
582,Seoul,20,KR,1543516200,92,37.57,126.98,33.8,1.12
